Date,Time,State,FatigueScore,EAR,BlinkRate,YawnCount,HeadDirection,NoseOffset,MAR
2026-04-11,18:16:05,ACTIVE,0,0.322,0,0,FORWARD,-0.0237,0.0
2026-04-11,18:16:06,ACTIVE,0,0.321,0,0,FORWARD,-0.0114,0.061
2026-04-11,18:16:07,ACTIVE,0,0.331,0,0,FORWARD,-0.0152,0.0
2026-04-11,18:16:08,ACTIVE,0,0.299,0,0,FORWARD,-0.015,0.0
2026-04-11,18:16:09,ACTIVE,0,0.328,0,0,FORWARD,-0.0157,0.0
2026-04-11,18:16:12,DISTRACTED,19,0.542,0,0,LEFT,-0.1616,0.106
2026-04-11,18:16:13,DISTRACTED,29,0.541,1,0,RIGHT,0.1701,0.036
2026-04-11,18:16:14,DISTRACTED,40,0.297,1,0,RIGHT,0.0622,0.033
2026-04-11,18:16:15,DISTRACTED,50,0.311,2,0,FORWARD,-0.0066,0.019
2026-04-11,18:16:16,ACTIVE,50,0.322,2,0,DOWN,-0.0281,0.039
2026-04-11,18:16:18,SLEEPY,63,0.17,2,0,FORWARD,-0.0212,0.048
2026-04-11,18:16:19,SLEEPY,84,0.31,4,0,FORWARD,0.0007,0.028
2026-04-11,18:16:20,SLEEPY,100,0.315,4,0,FORWARD,-0.0033,0.075
2026-04-11,18:16:21,SLEEPY,100,0.246,4,0,FORWARD,-0.0074,0.02
2026-04-11,18:16:22,SLEEPY,100,0.241,6,0,FORWARD,-0.0058,0.0
2026-04-11,18:16:23,SLEEPY,100,0.156,7,0,FORWARD,-0.0047,0.038
2026-04-11,18:16:24,SLEEPY,100,0.331,8,0,FORWARD,-0.0071,0.04
2026-04-11,18:16:25,SLEEPY,100,0.329,8,0,FORWARD,-0.011,0.0
2026-04-11,18:16:26,SLEEPY,100,0.308,8,0,FORWARD,-0.0129,0.0
2026-04-11,18:16:27,SLEEPY,100,0.339,8,0,FORWARD,-0.0125,0.018
2026-04-11,18:16:28,SLEEPY,100,0.264,8,0,FORWARD,-0.0097,0.018
2026-04-11,18:16:29,SLEEPY,100,0.167,8,0,FORWARD,-0.0099,0.038
2026-04-11,18:16:31,DROWSY,100,0.163,8,0,FORWARD,-0.0124,0.054
2026-04-11,18:16:31,DROWSY,100,0.142,8,0,FORWARD,-0.0102,0.018
2026-04-11,18:16:32,DROWSY,100,0.163,8,0,FORWARD,-0.0103,0.036
2026-04-11,18:16:34,ACTIVE,99,0.266,9,0,FORWARD,-0.0078,0.036
2026-04-11,18:16:35,ACTIVE,94,0.294,9,0,FORWARD,-0.0105,0.019
2026-04-11,18:16:36,ACTIVE,88,0.301,10,0,FORWARD,-0.0076,0.0
2026-04-11,18:16:37,ACTIVE,83,0.286,11,0,FORWARD,-0.0041,0.231
2026-04-11,18:16:38,ACTIVE,78,0.164,11,0,DOWN,-0.0054,0.777
2026-04-11,18:16:39,ACTIVE,73,0.216,12,0,DOWN,-0.005,0.028
2026-04-11,18:16:40,ACTIVE,67,0.256,14,0,FORWARD,0.0074,0.828
2026-04-11,18:16:41,ACTIVE,62,0.246,16,0,FORWARD,0.0002,0.548
2026-04-11,18:16:42,ACTIVE,57,0.267,18,0,FORWARD,-0.0043,0.0
2026-04-11,18:16:43,ACTIVE,52,0.257,18,0,FORWARD,-0.0022,0.0
2026-04-11,18:16:44,ACTIVE,47,0.301,18,0,FORWARD,-0.0047,0.039
2026-04-11,18:16:45,ACTIVE,42,0.121,18,0,FORWARD,-0.0118,0.0
2026-04-11,18:16:46,ACTIVE,37,0.284,19,0,FORWARD,-0.0035,0.848
2026-04-11,18:16:47,ACTIVE,31,0.268,19,0,DOWN,0.0049,0.954
2026-04-11,18:16:48,SLEEPY,48,0.237,20,1,FORWARD,-0.0023,0.847
2026-04-11,18:16:49,SLEEPY,85,0.288,20,1,FORWARD,0.002,0.017
2026-04-11,18:16:50,SLEEPY,100,0.315,20,1,FORWARD,-0.0097,0.025
2026-04-11,18:16:51,SLEEPY,100,0.293,20,1,DOWN,-0.0112,0.0
2026-04-11,18:16:52,SLEEPY,100,0.277,20,1,FORWARD,-0.0062,0.017
2026-04-11,18:16:53,SLEEPY,100,0.16,20,1,FORWARD,-0.0095,0.018
2026-04-11,18:16:54,SLEEPY,100,0.182,20,1,FORWARD,-0.0078,0.0
2026-04-11,18:16:55,DROWSY,100,0.192,20,1,FORWARD,-0.0103,0.018
2026-04-11,18:16:56,DROWSY,100,0.171,20,1,FORWARD,-0.0117,0.034
2026-04-11,18:16:57,DROWSY,100,0.167,20,1,DOWN,-0.0067,0.017
2026-04-11,18:16:58,DROWSY,100,0.182,20,1,FORWARD,-0.0077,0.017
2026-04-11,18:16:59,DROWSY,100,0.189,20,1,DOWN,-0.0068,0.018
2026-04-11,18:17:00,DROWSY,100,0.172,20,1,DOWN,-0.0074,0.034
2026-04-11,18:17:02,DROWSY,100,0.155,20,1,DOWN,-0.0061,0.052
2026-04-11,18:17:03,DROWSY,100,0.187,20,1,FORWARD,-0.006,0.034
2026-04-11,18:17:04,DROWSY,100,0.169,20,1,FORWARD,-0.0051,0.0
2026-04-11,18:17:05,DROWSY,100,0.18,20,1,DOWN,-0.0056,0.034
2026-04-11,18:17:06,DROWSY,100,0.181,20,1,DOWN,-0.003,0.017
2026-04-11,18:17:07,DROWSY,100,0.157,20,1,DOWN,-0.0029,0.018
2026-04-11,18:17:08,DROWSY,100,0.154,20,1,DOWN,-0.0035,0.0
2026-04-11,18:17:09,DROWSY,100,0.155,20,1,DOWN,-0.0041,0.018
2026-04-11,18:17:10,DROWSY,100,0.188,20,1,FORWARD,-0.004,0.018
2026-04-11,18:17:11,DROWSY,100,0.153,20,1,FORWARD,-0.0054,0.053
2026-04-11,18:17:12,DROWSY,100,0.172,20,1,DOWN,-0.0054,0.017
2026-04-11,18:17:13,DROWSY,100,0.193,20,1,DOWN,-0.0069,0.0
2026-04-11,18:17:14,DROWSY,100,0.168,19,1,DOWN,-0.0069,0.035
2026-04-11,18:17:15,DROWSY,100,0.176,18,1,DOWN,-0.0098,0.018
2026-04-11,18:17:16,DROWSY,100,0.172,18,1,DOWN,-0.0098,0.0
2026-04-11,18:17:17,ACTIVE,96,0.302,19,1,DOWN,-0.0111,0.0
2026-04-11,18:17:18,ACTIVE,91,0.329,19,1,FORWARD,-0.0058,0.0
2026-04-11,18:17:19,ACTIVE,86,0.3,17,1,FORWARD,-0.0099,0.0
2026-04-11,18:17:20,ACTIVE,81,0.129,18,1,FORWARD,-0.0112,0.0
2026-04-11,18:17:21,ACTIVE,76,0.304,19,1,FORWARD,-0.0099,0.0
2026-04-11,18:17:22,ACTIVE,73,0.28,18,1,FORWARD,-0.003,0.0
2026-04-11,18:17:23,ACTIVE,67,0.296,17,1,FORWARD,0.0019,0.0
2026-04-11,18:17:24,ACTIVE,62,0.232,18,1,FORWARD,-0.0005,0.0
2026-04-11,18:17:25,ACTIVE,57,0.323,18,1,FORWARD,-0.0161,0.0
2026-04-11,18:17:26,ACTIVE,52,0.337,18,1,FORWARD,-0.0104,0.0
2026-04-11,18:17:27,ACTIVE,47,0.341,18,1,FORWARD,-0.0117,0.0
2026-04-11,18:17:28,ACTIVE,42,0.175,18,1,FORWARD,-0.0128,0.0
2026-04-11,18:17:29,ACTIVE,37,0.216,19,1,FORWARD,-0.0148,0.0
2026-04-11,18:17:30,ACTIVE,47,0.292,22,1,FORWARD,-0.0124,0.0
2026-04-11,18:17:32,ACTIVE,58,0.271,22,1,FORWARD,-0.0094,0.016
2026-04-11,18:17:33,ACTIVE,68,0.303,22,1,FORWARD,-0.0053,0.0
